han	phien_am
徵女王紀	Trưng Nữ Vương KỶ.
徵王	Trưng Vương.
在位三年	Tại vị tam niên.
王甚雄勇逐蘇定建國稱王然以女主不能成再造之功	[Vương thậm hùng dũng, trục Tô Định, kiến quốc xưng vương, nhiên dĩ nữ chủ, bất năng thành tái tạo chi công].
諱側姓徵	Huý Trắc, tính Trưng.
本姓雒峯州麋冷縣雒將之女朱鳶縣詩索之妻也	Bản tính Lạc, Phong Châu Mê Linh huyện Lạc tướng chi nữ, Chu Diên huyện Thi Sách chi thê dã.
詩索亦雒將子两家子相爲婚姻綱目集覧以雒爲姓誤矣都麋冷麋音縻	[Thi Sách diệc Lạc tướng tử, lưỡng gia tử tương vi hôn nhân cương mục tập lãm dĩ lạc vi tính ngộ hĩ] đô Mê Linh [Mê âm mi].
庚子元年漢建武十六年	Canh Tí, nguyên niên [Hán Kiến Vũ thập lục niên].
春二月王苦太守蘇定绳以法及讐定之殺其夫乃與其妹貳舉兵攻陷州治	Xuân, nhị nguyệt, vương khổ Thái thú Tô Định thằng dĩ pháp, cập thù Định chi sát kì phu, nãi dữ kì muội Nhị cử binh công hãm châu trị.
定奔還	Định bôn hoàn.
南海九真日南合浦皆應之畧定嶺南六十	Nam Hải, Cửu Chân, Nhật Nam, Hợp Phố giai ứng chi, lược định Lĩnh Nam lục thập..
五城自立爲王始稱徵姓焉	ngũ thành, tự lập vi vương, thuỷ xưng Trưng tính yên.
辛丑二年漢建武十七年	Tân Sửu, nhị niên [Hán Kiến Vũ thập thất niên].
春二月晦日食	Xuân, nhị nguyệt, hối, nhật thực.
漢以徵氏稱王舉兵攻陷城邑邊郡苦之乃命長沙合浦及我交州具車船修橋道通障溪儲粮榖拜馬援爲伏波將軍以扶樂侯刘隆爲副來侵	Hán dĩ Trưng thị xưng vương, cử binh công hãm thành ấp, biên quận khổ chi, nãi mệnh Trường Sa, Hợp Phố cập ngã Giao Châu cụ xa thuyền, tu kiều đạo, thông chướng khê, trữ lương cốc, bái Mã Viện vi Phục ba tướng quân, dĩ Phù Lạc hầu Lưu Long vi phó lai xâm.
壬寅三年漢建武十八年	Nhâm Dần, tam niên [Hán Kiến Vũ thập bát niên].
春正月馬援沿海而進隨山刊道千餘里至浪泊上羅城西街之西名浪泊與王戰	Xuân, chính nguyệt, Mã Viện duyên hải nhi tiến, tuỳ sơn san đạo thiên dư lí, chí Lãng Bạc thượng La Thành Tây Nhai chi tây danh Lãng Bạc] dữ vương chiến.
王見虜大張自度烏合之恐不能支退保禁溪禁溪史作金溪亦以王女子慮不能勝敵遂走散	Vương kiến lỗ thế đại trương, tự độ ô hợp chi chúng, khủng bất năng chi, thoái bảo Cấm Khê [Cấm Khê sử tác Kim Khê] Chúng diệc dĩ vương nữ tử, lự bất năng thắng địch, toại tẩu tán.
國統復絶	Quốc thống phục tuyệt.
