han	phien_am
大越史記外紀全書卷之四	Đại Việt Sử Ký Ngoại Kỷ Toàn Thư Quyển Chi Tứ.
属吳晋宋齊梁紀	Thuộc Ngô, Tấn, Tống, Tề, Lương KỶ.
丁未漢建興五年吳黄武六年	Đinh Mùi, [Hán Kiến Hưng ngũ niên Ngô Hoàng Vũ lục niên].
吳主聞士王薨以交州懸遠乃分合浦以北属廣州吕岱爲刺史合浦以南属交州戴良爲刺史	Ngô chủ văn Sĩ Vương hoăng, dĩ Giao Châu huyền viễn, nãi phân Hợp Phố dĩ Bắc thuộc Quảng Châu, Lữ Đại vi Thứ sử; Hợp Phố dĩ Nam thuộc Giao Châu, Đái Lương vi Thứ sử.
又遣陳時大王爲太守	Hựu khiển Trần Thì đại vương vi Thái thú.
岱留南海	Đại lưu Nam Hải.
良與時俱前行	Lương dữ Thì cụ tiền hành.
到合浦而王子徽以自署為太守發宗兵拒之	Đáo Hợp Phố nhi vương tử Huy dĩ tự thự vi Thái thú, phát tông binh cự chi.
漢未宗室相亂南人率宗室相聚爲兵以自衛故名宗兵	[Hán vị, tôn thất tương loạn, Nam nhân suất tôn thất tương tụ vi binh dĩ tự vệ, cố danh tông binh].
良留合浦	Lương lưu Hợp Phố.
王吏桓鄰叩頭諫徽迎良徽怒笞殺鄰	Vương lại Hoàn Lân khấu đầu gián Huy nghênh Lương, Huy nộ si sát Lân.
史臣吳士連曰自古殺諫臣未有不亡者	Sử thần Ngô Sĩ Liên viết: Tự cổ sát gián thần vị hữu bất vong giả.
陳殺	Trần sát..
洩冶齊殺孤喧陳齊事可鑒也以此垂戒	Tiết Dã, Tề sát Cô Huyên, Trần Tề sự khả giám dã, dĩ thử thuỳ giới.
猶有殺諫臣如士徽者繼統不旋踵而死亡宜哉	Do hữu sát gián thần như Sĩ Huy giả, kế thống bất toàn chủng nhi tử vong nghi tai.
鄰兄子治發合宗兵擊徽	Lân huynh tử Trị Phát hợp tông binh kích Huy.
徽閉城門自守	Huy bế thành môn tự thủ.
治等攻之數月不能下乃和親各罷兵	Trị đẳng công chi sổ nguyệt bất năng hạ, nãi hoà thân các bãi binh.
而吕岱奉吳詔誅徽自廣州將兵畫夜馳入合浦與良俱前誘士王之子中郎將匡與徽説令伏罪雖失郡守保無他憂	Nhi Lữ Đại phụng Ngô chiếu tru Huy, tự Quảng Châu tướng binh hoạch dạ trì nhập Hợp Phố, dữ Lương cụ tiền dụ Sĩ vương chi tử Trung Lang Tướng Khuông dữ Huy thuyết lệnh phục tội, tuy thất quận thú, bảo vô tha ưu.
岱尋匡後至	Đại tầm Khuông hậu chí.
徽兄祗弟幹頌等六人内袒迎岱	Huy huynh Chi đệ Cán, Tụng đẳng lục nhân nội đản nghênh Đại.
岱微服前至郡下	Đại vi phục tiền chí quận hạ.
明早施帳幔請徽兄弟以次入	Minh tảo thí trướng mạn, thỉnh Huy huynh đệ dĩ thứ nhập.
賓客满座岱起擁節讀詔數徽罪過左右因反	Tân khách mãn toà, Đại khởi ủng tiết độc chiếu sổ Huy tội quá, tả hữu nhân phản..
縛以出皆斬之傳首武昌	phọc dĩ xuất giai trảm chi, truyền thủ Vũ Xương.
史臣吳士連曰士徽父薨不請命自立又發兵拒命義固當討然	Sử thần Ngô Sĩ Liên viết: Sĩ Huy phụ hoăng bất thỉnh mệnh tự lập, hựu phát binh cự mệnh, nghĩa cố đương thảo nhiên.
吕岱誘之史降而殺之非也	Lữ Đại dụ chi sử hàng nhi sát chi phi dã.
夫信者國之寶也	Phù tín giả, quốc chi bảo dã.
徽既降縛送武昌使生殺出於上威信行乎下不亦善乎孫盛曰柔遠能邇莫善於信	Huy ký hàng phọc tống Vũ Xương, sử sinh sát xuất ư thượng, uy tín hành hồ hạ, bất diệc thiện hồ? Tôn Thịnh viết: "Nhu viễn năng nhĩ mạc thiện ư tín".
吕岱殺降邀功君子非之以是知吕氏之不延也信哉	Lữ Đại sát hàng yêu công, quân tử phi chi, dĩ thị tri Lữ thị chi bất diên dã tín tai.
一鮪匡後出吳主原其罪及王贅子𢌃皆免爲庶人	Nhất Vị Khuông hậu xuất, Ngô chủ nguyên kì tội, cập vương chuế tử Ngẩm giai miễn vi thứ nhân.
數一鮪坐法誅唯匡先病殁	Sổ tuế, Nhất Vị toạ pháp tru, duy Khuông tiên bệnh một.
及𢌃卒徽大	Cập ngẩm tốt, Huy đại..
將甘醴及桓治率吏民共攻岱岱擊破之	tướng Cam Lễ cập Hoàn Trị suất lại dân cộng công Đại, Đại kích phá chi.
於是除廣州復爲交州如故	Ư thị trừ Quảng Châu phục vi Giao Châu như cố.
岱進攻九真斬獲以萬數	Đại tiến công Cửu Chân, trảm hoạch dĩ vạn sổ.
辛亥漢建興九年吳黄武三年	Tân Hợi, [Hán Kiến Hưng cửu niên Ngô Hoàng Vũ tam niên].
吳武陵五溪蠻反	Ngô Vũ Lăng Ngũ Khê man phản.
主以南土清定召刺史吕岱還	Ngô chủ dĩ Nam thổ thanh định, triệu Thứ sử Lữ Đại hoàn.
合浦太守薜綜上疏曰昔帝舜南巡崩於蒼梧秦置桂林南海象郡則四國内属久矣	Hợp Phố Thái thú Tiết Tống thượng sớ viết: "Tích Đế Thuấn nam tuần băng ư Thương Ngô, Tần trí Quế Lâm, Nam Hải, Tượng Quận tắc tứ quốc nội thuộc cửu hĩ.
趙佗起於番禺懷服百越之君珠崖之南是也	Triệu Đà khởi ư Phiên Ngung, hoài phục Bách Việt chi quân, Châu Nhai chi Nam thị dã.
孝武誅吕嘉開九郡設交趾刺史徙中國罪人雜居其閒稍使學書粗通禮化	Hiếu Vũ tru Lữ Gia, khai cửu quận, thiết Giao Chỉ Thứ sử, tỉ Trung Quốc tội nhân tạp cư, kì nhàn sao sử học thư, thô thông lễ hoá.
及昔光守交趾任延守九真建立學號道以禮義	Cập Tích Quang thú Giao Chỉ, Nhâm Diên thú Cửu Chân, kiến lập học hiệu, đạo dĩ lễ nghĩa.
由此而降四百	Do thử nhi giáng, tứ bách..
餘年民似有類	dư niên, dân tự hữu loại.
然土廣人眾险阻山林易以爲乱	Nhiên thổ quảng nhân chúng, hiểm trở sơn lâm, dị dĩ vi loạn.
